product_id,barcode,product_name,type,purchase_price,selling_price,selling_wcard
4389,10001571,CZB 8975 ÇıÇEKLı BLUZ,Bluz,17.0,34.99,39.99
4390,10001571,CZB 8975 ÇıÇEKLı BLUZ,Bluz,17.0,34.99,39.99
4391,10002751,3222  pantoln,Pantolon,18.0,34.99,39.99
4392,10003053,Fosfor Çanta,Canta,15.0,29.99,34.99
4393,10003053,Fosfor Çanta,Canta,15.0,29.99,34.99
4394,10003053,Fosfor Çanta,Canta,15.0,29.99,34.99
4395,10003018,Tavuz Kuşlu Gömlek,Gömlek,22.5,44.99,49.99
4396,10003018,Tavuz Kuşlu Gömlek,Gömlek,22.5,44.99,49.99
4397,10003003,Taşlı Gömlek,Gömlek,20.0,39.99,44.99
4398,10003032,1770 Ceket ,Ceket,22.0,45.0,49.99
4399,10003054,1797 Uzun Ceket,Ceket,17.5,34.99,39.99
4400,10003055,1835 Tunik Baglamalı,Bluz,16.0,34.99,39.99
4401,10002980,Kısa Kimono,Ceket,17.0,34.99,39.99
4402,10002864,Yüksek Bel Pant.,Pantolon,22.0,44.99,49.99
4403,10002691,Kot Yuksek Bel ,Kot Pantolon,27.0,54.99,59.99
4404,10003056,Füme Yuksek Bel Kot,Kot Pantolon,23.0,44.99,49.99
4405,10003057,Nakışlı Gömlek,Gömlek,22.5,44.99,49.99
4406,10003058,ıncili Gömlek,Gömlek,20.0,39.99,44.99
4407,10003059,Kot Gömlek,Gömlek,25.0,49.99,54.99
4408,10002986,Yan Fermuarlı Bluz,Bluz,12.0,29.99,32.99
4409,10003015,Etek Uzun,Etek,15.0,29.99,34.99
4410,10003014,Etnik Bluz,Bluz,16.0,34.99,39.99
4411,10003050,099 Zara Model Tunık,Bluz,15.0,34.99,39.99
4412,10003052,141 Su Taslı Bluz,Bluz,14.0,34.99,39.99
4413,10003060,945 MEVSıMLıK MONT,Mont,25.0,49.99,54.99
4414,10003012,Bomber Ceket,Ceket,25.0,49.99,54.99
4415,10003060,113 KRUVAZE BLUZ,Bluz,15.0,29.99,34.99
4416,10003060,113 KRUVAZE BLUZ,Bluz,15.0,29.99,34.99
4417,10003061,171 KREM GÜPÜRLÜ,Bluz,19.0,39.99,44.99
